tasks_assigned,tasks_completed,overdue_tasks,quality_score,teamwork_score,attendance_rate,feedback_text,skill_match_score,avg_rating,availability_score,project_similarity,final_rating
6,2,4,4.2,3.1,0.69,Good but not consistent,0.54,3.3,0.53,0.79,2.97
11,9,1,3.3,3.9,1.0,Very committed and reliable,0.43,3.4,0.55,0.67,3.85
11,3,6,3.9,2.4,0.9,Very committed and reliable,0.61,4.7,0.3,0.41,3.06
14,9,0,3.0,4.7,0.95,Good but not consistent,0.57,2.6,0.45,0.59,3.5
16,9,5,3.1,3.0,0.86,Excellent performance and teamwork,0.65,4.3,0.83,0.46,3.35
7,6,0,2.6,3.4,0.95,Excellent performance and teamwork,0.73,3.0,0.75,0.78,3.56
8,3,0,2.3,2.7,0.88,Outstanding contribution,0.51,3.5,0.37,0.81,2.7
20,6,12,3.5,2.9,0.91,Outstanding contribution,0.68,5.0,0.88,0.48,3.19
9,6,1,4.0,4.3,0.99,Needs improvement in deadlines,0.95,3.4,0.92,0.87,3.83
7,0,2,2.3,2.8,0.84,Good but not consistent,0.63,2.5,0.74,0.92,1.94
15,14,1,3.5,2.0,0.65,Excellent performance and teamwork,1.0,4.5,0.84,0.66,3.73
7,7,0,2.4,2.6,0.63,Outstanding contribution,0.76,2.6,0.83,0.77,3.33
16,13,1,2.1,4.6,0.62,Outstanding contribution,0.97,3.4,0.89,0.64,3.55
8,8,0,3.8,2.2,0.82,Excellent performance and teamwork,0.93,3.4,0.85,0.98,3.79
9,1,1,3.5,3.2,0.7,Needs improvement in deadlines,0.44,3.0,0.68,0.65,2.46
16,10,6,4.4,4.5,0.61,Very committed and reliable,0.65,2.8,0.63,0.86,3.58
20,16,4,2.9,4.7,0.91,Excellent performance and teamwork,0.95,4.6,0.43,0.41,4.09
16,12,1,3.1,4.6,0.99,Needs improvement in deadlines,0.87,3.6,0.72,0.41,3.88
7,1,2,3.6,4.3,0.6,Needs improvement in deadlines,0.81,3.3,0.7,0.91,2.75
8,0,4,3.6,3.7,0.68,Very committed and reliable,0.79,3.7,0.55,0.97,2.54
17,3,10,4.4,3.6,0.81,Late submission and weak teamwork,0.5,3.0,1.0,0.99,2.87
10,2,5,3.8,4.2,0.66,Excellent performance and teamwork,0.97,4.4,0.57,0.51,3.11
6,0,4,2.9,2.4,0.97,Very committed and reliable,0.7,3.4,0.94,0.76,2.23
10,6,0,3.0,3.4,0.84,Good but not consistent,0.98,3.1,0.68,0.89,3.22
17,3,1,3.6,4.8,0.71,Late submission and weak teamwork,0.59,4.2,0.72,0.57,3.14
10,7,0,3.7,5.0,0.86,Late submission and weak teamwork,0.72,4.8,0.34,0.45,4.18
7,2,2,4.9,3.7,0.7,Late submission and weak teamwork,0.71,4.2,0.77,0.71,3.34
14,12,2,4.8,4.3,0.84,Outstanding contribution,0.4,3.2,0.68,0.81,4.17
10,4,0,2.8,2.6,0.83,Late submission and weak teamwork,0.92,2.7,0.86,0.59,2.63
10,4,1,2.4,4.2,0.6,Excellent performance and teamwork,0.75,4.4,0.53,0.47,3.1
18,1,5,4.7,2.7,0.88,Good but not consistent,0.52,4.7,0.84,0.96,2.94
11,4,6,3.3,4.1,0.85,Excellent performance and teamwork,0.51,2.5,0.52,0.6,2.95
12,8,1,3.5,3.9,0.64,Outstanding contribution,1.0,3.4,0.83,0.57,3.48
17,11,4,3.9,3.8,0.78,Needs improvement in deadlines,0.97,4.9,0.84,0.69,3.88
10,8,1,2.4,4.6,0.85,Needs improvement in deadlines,0.46,3.3,0.79,0.6,3.68
18,0,11,3.7,4.7,0.69,Late submission and weak teamwork,0.42,4.3,0.31,0.74,2.89
8,8,0,2.6,3.6,0.76,Late submission and weak teamwork,0.53,3.0,0.71,0.55,3.72
17,11,4,4.3,5.0,0.78,Outstanding contribution,0.86,3.5,0.88,0.95,3.92
15,11,2,3.9,3.7,0.92,Good but not consistent,0.58,4.0,0.71,0.64,3.88
14,3,5,4.3,4.3,0.97,Very committed and reliable,0.64,2.6,0.69,0.69,3.05
15,2,7,2.0,4.9,0.83,Outstanding contribution,0.97,2.8,0.39,0.91,2.56
12,2,5,3.4,4.2,0.67,Excellent performance and teamwork,0.82,4.2,0.78,0.67,2.95
20,19,0,2.9,2.1,0.75,Needs improvement in deadlines,0.84,5.0,0.36,0.99,3.8
10,1,1,4.3,4.3,0.78,Excellent performance and teamwork,0.52,4.2,0.74,0.86,3.1
17,15,2,2.4,4.6,0.97,Late submission and weak teamwork,0.9,2.7,0.82,0.82,3.75
13,13,0,4.0,3.3,0.81,Excellent performance and teamwork,0.71,4.2,0.93,0.91,4.21
5,4,0,4.6,4.5,0.61,Late submission and weak teamwork,0.76,4.2,0.32,0.54,4.17
5,4,1,2.1,3.7,0.86,Needs improvement in deadlines,0.73,4.9,0.33,0.48,3.77
19,2,15,5.0,4.9,0.89,Outstanding contribution,0.88,3.8,0.48,0.63,3.34
16,7,5,2.2,3.1,0.89,Late submission and weak teamwork,0.91,4.6,0.71,0.97,3.08
13,11,0,4.6,2.9,0.75,Late submission and weak teamwork,0.78,3.9,0.69,0.89,3.92
16,14,2,2.5,2.0,0.91,Very committed and reliable,0.42,2.9,0.48,0.41,3.25
19,8,8,4.3,3.0,0.65,Good but not consistent,0.52,3.3,0.93,0.89,3.08
16,5,2,3.9,3.4,0.87,Outstanding contribution,0.49,2.6,0.84,0.47,2.88
6,1,0,2.3,3.6,0.66,Late submission and weak teamwork,0.77,3.6,0.35,0.97,2.48
12,2,2,4.7,4.1,0.79,Needs improvement in deadlines,0.94,4.8,0.89,0.81,3.36
18,0,14,4.3,5.0,0.95,Very committed and reliable,0.96,3.4,0.43,0.44,3.02
11,8,3,4.6,4.0,0.97,Outstanding contribution,0.95,4.0,0.67,0.65,4.1
20,17,0,4.6,3.6,0.67,Needs improvement in deadlines,0.73,3.6,0.58,0.46,3.97
14,14,0,4.0,2.2,0.67,Very committed and reliable,0.88,3.9,0.62,0.77,3.85
9,6,0,4.9,4.7,0.77,Outstanding contribution,0.86,4.6,0.7,0.6,4.22
18,7,0,4.6,2.1,0.61,Late submission and weak teamwork,0.6,3.5,0.31,0.75,2.93
14,10,0,2.7,4.2,0.63,Outstanding contribution,0.9,4.2,0.55,1.0,3.61
19,15,4,3.1,2.4,0.89,Very committed and reliable,0.88,3.4,0.44,0.54,3.41
9,5,4,3.1,2.5,0.99,Very committed and reliable,0.93,4.5,0.34,0.59,3.35
20,16,3,4.4,2.1,0.75,Outstanding contribution,0.44,4.1,0.73,0.98,3.69
11,10,1,3.2,4.0,0.8,Very committed and reliable,0.89,4.5,0.66,0.63,4.1
5,4,1,4.9,3.7,0.92,Very committed and reliable,0.5,3.5,0.88,0.7,4.08
13,10,0,4.6,2.7,0.71,Excellent performance and teamwork,0.43,3.3,0.95,0.75,3.63
19,17,2,4.5,5.0,0.8,Late submission and weak teamwork,0.85,3.0,0.73,0.73,4.24
16,6,3,2.2,4.6,0.74,Late submission and weak teamwork,0.71,4.2,0.97,0.97,3.13
12,0,4,3.0,2.5,0.6,Outstanding contribution,0.97,3.5,0.87,0.66,2.1
6,6,0,4.3,4.8,0.86,Needs improvement in deadlines,0.91,2.7,0.33,0.75,4.29
12,8,0,2.2,3.2,0.78,Needs improvement in deadlines,0.94,3.2,0.39,0.93,3.11
13,13,0,2.3,3.7,0.96,Very committed and reliable,0.95,4.6,0.8,0.49,4.1
10,8,2,4.9,2.0,0.66,Late submission and weak teamwork,0.95,3.4,0.52,0.55,3.59
8,0,1,2.7,2.7,0.72,Excellent performance and teamwork,0.54,4.7,0.32,0.42,2.38
14,4,10,4.1,2.5,0.92,Outstanding contribution,0.69,3.0,0.67,0.44,2.81
10,4,6,3.4,3.0,0.82,Needs improvement in deadlines,0.95,2.8,0.53,0.73,2.85
7,3,0,3.2,3.8,0.63,Outstanding contribution,0.89,3.4,0.88,0.64,3.04
5,1,2,2.5,4.1,0.92,Good but not consistent,0.57,4.3,0.96,0.55,2.94
11,10,1,4.4,4.2,1.0,Late submission and weak teamwork,0.56,4.3,0.67,0.86,4.44
12,4,2,3.9,4.7,0.71,Late submission and weak teamwork,0.87,3.1,0.39,0.75,3.2
7,1,6,3.1,4.5,0.88,Outstanding contribution,0.91,3.1,0.48,0.67,2.79
16,1,10,4.7,3.2,0.61,Excellent performance and teamwork,0.96,3.5,0.79,0.86,2.68
20,20,0,3.9,3.0,0.71,Very committed and reliable,0.76,4.6,0.79,0.9,4.16
7,6,0,4.2,3.6,0.67,Late submission and weak teamwork,0.94,3.8,0.45,0.65,3.94
15,10,4,4.6,3.7,0.84,Very committed and reliable,0.56,3.9,0.74,0.67,3.86
8,2,2,4.0,4.5,0.81,Outstanding contribution,1.0,2.6,0.46,0.67,3.0
13,4,8,3.7,3.1,0.71,Needs improvement in deadlines,0.76,4.5,0.32,0.5,3.08
13,13,0,4.0,3.2,0.84,Outstanding contribution,0.94,3.7,0.92,0.7,4.1
18,8,4,4.5,4.0,0.74,Good but not consistent,0.77,3.3,0.92,0.48,3.4
19,5,13,3.6,3.5,0.68,Outstanding contribution,0.82,3.4,0.58,0.52,2.83
15,6,7,4.3,3.9,0.61,Good but not consistent,0.7,3.9,0.45,0.72,3.33
11,1,3,4.4,2.7,0.61,Excellent performance and teamwork,0.74,3.7,0.94,0.53,2.6
19,3,1,3.9,4.7,0.6,Needs improvement in deadlines,0.42,2.7,0.34,0.52,2.8
20,1,9,3.3,2.6,0.86,Late submission and weak teamwork,0.53,4.1,0.55,0.55,2.5
20,6,4,4.7,3.5,0.71,Very committed and reliable,0.69,3.3,0.65,0.64,3.11
13,11,1,4.8,4.1,0.67,Excellent performance and teamwork,0.9,5.0,0.59,0.66,4.38
18,7,6,2.7,2.3,0.98,Very committed and reliable,0.61,3.0,0.63,1.0,2.67
18,0,15,4.7,3.9,0.87,Outstanding contribution,0.92,3.0,0.51,0.7,2.76
6,4,1,2.7,2.2,0.63,Needs improvement in deadlines,0.81,3.3,0.87,0.71,2.96
6,3,3,3.8,3.9,0.68,Late submission and weak teamwork,0.8,2.8,0.79,0.85,3.19
11,3,1,4.0,3.4,0.78,Outstanding contribution,0.79,4.5,0.73,0.59,3.18
20,1,16,2.6,3.6,0.81,Needs improvement in deadlines,0.52,2.8,0.36,0.54,2.28
14,13,0,2.5,3.2,0.9,Late submission and weak teamwork,0.57,4.0,0.46,0.55,3.78
13,11,1,2.5,4.5,0.71,Very committed and reliable,0.45,4.1,0.88,0.93,3.84
13,11,1,4.0,3.8,1.0,Very committed and reliable,0.47,5.0,0.59,0.79,4.33
13,10,2,2.8,2.0,0.82,Good but not consistent,0.59,4.7,0.45,0.59,3.46
19,10,3,4.2,2.5,0.71,Good but not consistent,0.86,3.5,0.72,0.65,3.18
7,1,5,2.6,2.5,0.77,Excellent performance and teamwork,0.98,3.7,0.99,0.51,2.36
20,18,1,4.2,2.7,0.8,Good but not consistent,0.66,3.7,0.68,0.62,3.87
13,10,3,4.4,2.4,0.71,Very committed and reliable,0.53,4.6,0.76,0.92,3.79
15,1,0,3.3,2.1,0.86,Needs improvement in deadlines,0.81,4.7,0.71,0.62,2.55
10,3,6,4.0,3.6,0.99,Excellent performance and teamwork,0.63,2.6,0.55,0.85,2.99
5,2,0,3.5,3.9,0.71,Excellent performance and teamwork,0.56,3.6,0.32,0.69,3.16
14,5,1,3.9,3.9,0.65,Needs improvement in deadlines,0.76,4.1,0.69,0.92,3.24
20,4,3,2.1,3.7,0.79,Late submission and weak teamwork,0.54,2.9,0.9,0.46,2.44
19,4,13,3.9,3.5,0.97,Needs improvement in deadlines,0.5,3.1,0.83,0.55,2.9
16,6,8,3.2,3.2,0.72,Outstanding contribution,0.68,4.9,0.45,0.85,3.18
19,12,7,3.7,3.9,0.96,Good but not consistent,0.48,4.0,0.37,0.85,3.75
7,3,4,3.3,2.4,0.75,Very committed and reliable,0.69,3.0,0.74,0.65,2.76
12,2,8,3.2,3.0,0.9,Very committed and reliable,0.93,4.2,0.37,0.98,2.78
14,9,5,4.8,4.2,0.83,Very committed and reliable,0.97,4.8,0.55,0.6,4.14
20,11,7,2.8,2.2,0.9,Very committed and reliable,0.57,2.7,0.37,0.93,2.82
7,1,2,2.0,2.2,0.88,Excellent performance and teamwork,0.72,3.0,0.58,0.81,2.09
15,13,1,3.7,2.3,0.63,Outstanding contribution,0.79,3.3,0.9,0.75,3.48
17,15,0,4.5,4.6,0.92,Needs improvement in deadlines,0.66,4.2,0.52,0.46,4.44
10,4,1,4.2,3.4,0.9,Good but not consistent,0.81,4.8,0.58,0.86,3.53
11,1,7,4.1,3.5,0.63,Very committed and reliable,0.73,3.1,0.4,0.74,2.59
15,13,2,3.3,3.2,0.72,Outstanding contribution,0.41,3.8,0.72,0.93,3.72
17,16,0,4.3,4.3,0.75,Outstanding contribution,0.57,3.7,0.32,0.73,4.25
14,4,2,4.0,2.2,0.87,Very committed and reliable,0.84,3.0,0.5,0.84,2.7
7,6,1,2.0,3.7,0.94,Very committed and reliable,0.55,3.0,0.71,0.6,3.5
5,5,0,3.9,3.4,0.68,Very committed and reliable,0.64,3.7,0.91,0.46,4.04
7,6,0,4.5,3.4,0.76,Excellent performance and teamwork,0.83,4.9,0.96,0.8,4.23
14,11,3,4.7,2.8,0.9,Late submission and weak teamwork,0.69,3.2,0.91,0.77,3.77
6,2,1,4.6,5.0,0.87,Late submission and weak teamwork,0.72,3.7,0.84,0.97,3.6
10,5,3,4.4,4.6,0.72,Good but not consistent,0.57,3.0,0.63,0.56,3.51
14,4,2,2.7,2.8,0.67,Late submission and weak teamwork,0.87,3.5,0.32,0.42,2.56
5,4,0,2.7,3.8,0.85,Late submission and weak teamwork,0.99,3.1,0.9,0.63,3.54
5,0,4,3.2,4.1,0.99,Needs improvement in deadlines,0.73,4.0,0.88,0.46,2.75
16,16,0,2.4,2.8,0.96,Outstanding contribution,0.96,3.4,0.77,0.59,3.7
9,4,2,4.0,2.1,0.89,Excellent performance and teamwork,0.59,3.6,0.65,0.51,3.05
19,2,16,2.6,2.4,0.97,Excellent performance and teamwork,0.52,3.2,0.5,0.72,2.28
13,8,1,3.0,4.5,0.75,Needs improvement in deadlines,0.68,3.2,0.95,0.41,3.44
15,3,3,4.5,3.8,0.9,Needs improvement in deadlines,0.85,4.0,0.64,0.8,3.21
19,16,2,4.0,4.5,0.77,Needs improvement in deadlines,0.7,3.2,0.61,0.86,3.99
7,3,1,3.8,4.9,0.73,Very committed and reliable,0.51,3.0,0.68,0.98,3.35
18,11,3,2.3,4.0,0.74,Very committed and reliable,0.8,4.5,0.58,0.99,3.45
16,12,1,4.8,3.1,0.85,Excellent performance and teamwork,0.64,4.7,0.93,0.93,4.07
17,17,0,2.5,3.7,0.71,Good but not consistent,0.78,3.5,0.89,0.48,3.8
6,1,1,2.3,5.0,0.98,Outstanding contribution,0.84,3.1,0.98,0.9,2.82
15,10,1,4.1,4.9,0.98,Excellent performance and teamwork,0.52,4.7,0.93,0.54,4.23
15,2,5,3.1,4.4,1.0,Very committed and reliable,0.92,3.4,0.76,1.0,2.88
7,5,1,3.3,2.9,0.88,Excellent performance and teamwork,0.98,3.3,0.56,0.66,3.41
14,9,2,3.2,2.2,0.86,Needs improvement in deadlines,0.88,4.1,0.72,0.42,3.29
6,1,3,3.2,3.3,0.94,Excellent performance and teamwork,0.62,3.5,0.91,0.77,2.72
10,3,0,3.5,3.4,0.94,Good but not consistent,0.97,4.1,0.67,0.74,3.12
16,6,7,3.4,2.0,0.86,Excellent performance and teamwork,0.82,4.3,0.73,0.88,2.93
5,1,0,3.2,2.7,0.88,Needs improvement in deadlines,0.53,4.6,0.61,0.73,2.84
20,8,7,2.6,2.9,0.95,Outstanding contribution,0.45,4.9,0.88,0.7,3.16
13,13,0,2.4,3.7,0.67,Good but not consistent,0.53,2.7,0.43,0.52,3.6
6,0,6,3.0,4.9,0.73,Late submission and weak teamwork,0.73,2.9,0.38,0.42,2.52
20,3,16,2.3,3.3,0.72,Outstanding contribution,0.41,4.3,0.91,0.7,2.56
11,5,3,4.7,2.3,0.96,Needs improvement in deadlines,0.63,4.1,0.97,0.81,3.38
14,3,1,3.3,4.9,0.77,Excellent performance and teamwork,0.53,3.2,0.67,0.41,2.99
11,8,1,3.8,2.1,0.92,Outstanding contribution,0.63,3.7,0.82,0.66,3.47
12,2,10,2.8,2.3,0.68,Very committed and reliable,0.95,4.9,0.97,0.76,2.59
12,4,2,2.7,2.1,0.73,Very committed and reliable,0.57,4.9,0.89,0.91,2.81
13,0,10,3.0,2.2,0.94,Excellent performance and teamwork,0.47,4.9,0.84,0.59,2.49
6,2,2,3.0,4.7,0.63,Outstanding contribution,0.72,3.2,0.72,0.6,3.0
17,13,1,4.2,3.1,0.9,Good but not consistent,0.95,4.9,0.7,0.43,4.04
10,1,1,2.9,2.0,0.89,Good but not consistent,0.51,4.5,0.97,0.94,2.48
20,2,2,2.9,4.7,0.62,Needs improvement in deadlines,0.44,4.0,0.98,0.47,2.78
6,0,3,3.0,2.6,0.9,Good but not consistent,0.46,4.8,0.96,0.63,2.53
20,7,3,3.5,4.0,0.99,Good but not consistent,0.57,4.7,0.86,0.64,3.46
11,8,2,4.6,4.2,0.7,Outstanding contribution,0.86,3.2,0.36,0.87,3.84
8,3,4,3.1,3.5,0.75,Needs improvement in deadlines,0.54,3.5,0.43,0.64,2.96
16,12,4,2.1,2.7,0.99,Outstanding contribution,0.89,3.6,0.74,0.9,3.3
14,13,0,2.7,2.6,0.84,Excellent performance and teamwork,0.87,3.6,0.44,0.56,3.59
7,4,2,3.3,2.8,0.74,Good but not consistent,0.76,4.6,0.58,0.43,3.37
14,9,4,2.3,2.2,0.81,Excellent performance and teamwork,0.75,2.8,0.6,0.92,2.83
16,4,8,4.5,2.2,0.71,Needs improvement in deadlines,0.45,3.5,0.32,0.81,2.77
16,1,13,4.4,4.3,0.86,Outstanding contribution,0.9,3.0,0.49,0.71,2.86
11,7,2,4.7,2.9,0.85,Late submission and weak teamwork,0.54,4.5,0.45,0.94,3.8
5,4,1,2.9,4.3,0.73,Outstanding contribution,0.68,3.3,0.92,0.87,3.67
9,7,2,3.7,3.8,0.96,Good but not consistent,0.79,4.2,0.82,0.63,3.99
13,6,0,4.6,4.4,0.92,Needs improvement in deadlines,0.59,2.8,0.58,0.49,3.51
13,11,1,4.2,4.2,0.62,Very committed and reliable,0.65,3.2,0.69,0.69,3.9
18,7,8,4.3,2.6,0.76,Late submission and weak teamwork,0.46,4.3,0.9,0.91,3.2
13,1,12,4.2,2.7,0.87,Needs improvement in deadlines,0.63,3.1,0.51,0.45,2.55
18,16,0,4.9,3.8,0.63,Late submission and weak teamwork,0.94,3.5,0.9,0.52,4.09
6,2,4,2.2,4.2,0.9,Needs improvement in deadlines,0.5,3.0,0.53,0.6,2.83
5,0,2,4.7,4.9,0.9,Very committed and reliable,0.88,3.7,0.37,0.94,3.11
6,6,0,3.8,4.4,0.86,Late submission and weak teamwork,0.67,3.2,0.53,0.51,4.21
7,0,1,4.9,3.7,0.95,Good but not consistent,0.93,4.9,0.38,0.84,3.18
13,12,0,3.2,4.1,0.63,Late submission and weak teamwork,0.86,3.1,0.9,0.8,3.78
14,7,3,4.8,4.4,1.0,Excellent performance and teamwork,0.54,3.0,0.74,0.71,3.69
14,0,5,3.0,3.5,0.87,Excellent performance and teamwork,0.54,3.2,0.84,0.6,2.38
11,4,4,4.8,4.7,0.91,Excellent performance and teamwork,0.66,4.9,0.33,0.85,3.88
8,3,1,2.2,4.8,0.74,Outstanding contribution,0.52,4.2,0.83,0.78,3.17
8,2,6,2.4,2.1,0.62,Outstanding contribution,0.61,4.6,0.73,0.54,2.5
5,4,1,3.9,4.2,0.98,Outstanding contribution,0.73,2.8,0.79,0.95,3.87
9,9,0,3.1,3.4,0.74,Late submission and weak teamwork,0.4,3.5,0.71,0.58,3.87
13,6,6,4.3,4.4,0.92,Very committed and reliable,0.52,3.8,0.93,0.92,3.65
9,4,1,4.5,2.4,0.69,Very committed and reliable,0.82,4.0,0.55,0.68,3.19
17,16,1,3.0,4.7,0.71,Needs improvement in deadlines,0.46,4.7,0.58,0.78,4.25
11,9,0,4.2,3.7,0.64,Excellent performance and teamwork,0.76,3.7,0.72,0.97,3.87
13,2,11,4.6,4.9,0.61,Needs improvement in deadlines,0.64,2.6,0.89,0.54,2.96
11,8,2,4.1,2.3,0.63,Very committed and reliable,0.84,4.5,0.81,0.81,3.59
15,1,5,4.0,3.4,0.84,Needs improvement in deadlines,0.74,5.0,0.88,0.72,3.0
18,12,4,3.8,2.2,0.86,Outstanding contribution,0.7,4.5,0.55,0.88,3.53
6,0,1,2.2,4.4,0.82,Good but not consistent,0.61,2.5,0.5,0.79,2.23
9,4,4,3.3,4.4,0.84,Late submission and weak teamwork,0.99,2.8,0.62,0.59,3.19
11,3,0,2.4,3.8,0.69,Needs improvement in deadlines,0.56,2.7,0.62,0.96,2.53
14,5,8,4.9,4.0,0.66,Needs improvement in deadlines,0.43,5.0,0.97,0.59,3.65
9,8,0,3.8,3.6,0.88,Good but not consistent,0.57,3.3,0.42,0.44,3.91
13,0,12,2.9,4.7,0.91,Needs improvement in deadlines,0.84,2.5,0.38,0.53,2.48
10,6,0,2.0,2.8,0.65,Very committed and reliable,0.45,4.6,0.5,0.99,3.1
18,9,9,3.2,3.0,0.87,Outstanding contribution,0.56,3.7,0.34,0.67,3.17
9,5,2,3.9,4.4,0.86,Good but not consistent,0.73,3.1,0.7,0.78,3.54
17,7,1,3.2,2.9,1.0,Outstanding contribution,0.68,3.4,0.43,0.89,3.02
10,1,7,4.9,4.9,0.75,Very committed and reliable,0.58,3.2,0.96,0.61,3.13
5,3,0,4.9,2.1,0.72,Needs improvement in deadlines,0.51,4.6,0.66,0.98,3.58
12,0,3,3.3,2.2,0.87,Late submission and weak teamwork,0.76,3.6,0.71,0.93,2.26
9,0,4,3.6,3.8,0.68,Very committed and reliable,0.71,3.2,0.48,0.58,2.46
18,11,6,3.3,4.1,0.71,Needs improvement in deadlines,0.89,4.0,0.45,0.44,3.55
12,0,10,4.6,4.9,0.91,Late submission and weak teamwork,0.51,3.9,0.93,0.67,3.13
10,3,3,4.7,2.2,0.65,Very committed and reliable,0.69,4.4,0.88,0.42,3.04
8,4,1,3.6,3.1,0.73,Late submission and weak teamwork,0.55,3.3,0.8,0.43,3.12
13,0,1,3.4,3.8,0.6,Outstanding contribution,0.6,3.8,0.38,0.74,2.5
10,7,1,3.5,2.8,0.61,Needs improvement in deadlines,0.9,4.7,0.67,0.41,3.56
8,6,2,3.2,3.4,0.92,Good but not consistent,0.65,4.9,0.54,0.99,3.89
16,12,2,3.7,3.8,0.77,Outstanding contribution,0.75,3.3,0.31,0.58,3.67
18,10,1,2.0,3.6,0.84,Outstanding contribution,0.71,3.1,0.47,0.7,2.99
6,4,1,2.5,2.9,0.74,Needs improvement in deadlines,0.48,3.6,0.64,0.48,3.17
16,7,7,4.8,2.8,0.85,Very committed and reliable,0.88,4.9,0.85,0.96,3.58
13,2,9,4.5,3.0,0.99,Late submission and weak teamwork,0.96,4.3,0.38,0.77,3.09
17,9,5,4.2,4.6,0.77,Late submission and weak teamwork,0.72,4.6,0.34,0.9,3.86
10,4,1,2.6,4.8,0.96,Good but not consistent,0.69,3.1,0.79,0.48,3.18
17,7,0,2.1,3.1,0.84,Good but not consistent,0.63,3.0,0.99,0.73,2.68
7,3,2,3.5,4.6,0.72,Good but not consistent,0.74,4.8,0.62,0.48,3.58
17,12,0,3.3,4.1,0.68,Good but not consistent,0.54,5.0,0.54,0.96,3.88
15,2,9,3.4,2.5,0.62,Excellent performance and teamwork,0.96,4.5,0.62,0.81,2.59
16,1,14,3.6,3.2,0.93,Outstanding contribution,0.41,3.7,0.83,0.92,2.66
8,8,0,4.0,4.8,0.79,Late submission and weak teamwork,0.75,4.0,0.99,0.68,4.46
9,1,8,4.0,2.6,0.7,Needs improvement in deadlines,0.47,4.8,0.83,0.72,2.8
6,0,0,4.8,3.4,0.96,Very committed and reliable,0.51,2.8,0.62,0.67,2.68
8,0,6,2.1,4.0,0.75,Needs improvement in deadlines,0.92,3.1,0.53,0.5,2.22
20,8,8,4.4,4.5,0.69,Late submission and weak teamwork,0.82,3.4,0.63,0.81,3.4
13,2,8,3.2,2.8,0.81,Needs improvement in deadlines,0.49,4.2,0.85,0.7,2.68
11,3,3,2.6,2.7,0.82,Needs improvement in deadlines,0.63,4.1,0.74,0.98,2.7
10,5,5,3.8,2.2,0.93,Good but not consistent,0.58,4.7,0.95,0.87,3.35
20,3,4,3.5,2.4,0.93,Needs improvement in deadlines,0.83,4.5,0.39,0.94,2.77
11,2,3,3.2,3.1,0.88,Outstanding contribution,0.43,3.2,0.83,0.51,2.61
13,11,0,3.4,2.2,0.84,Very committed and reliable,0.71,3.1,0.72,0.74,3.43
9,4,5,4.5,2.7,0.91,Excellent performance and teamwork,0.77,3.7,0.36,0.46,3.3
10,0,8,2.0,2.6,0.67,Very committed and reliable,0.6,3.4,0.62,0.82,1.94
20,16,0,3.7,4.1,0.97,Late submission and weak teamwork,0.59,4.0,0.88,0.86,4.04
18,14,1,4.6,4.7,0.75,Late submission and weak teamwork,0.71,4.6,0.93,0.95,4.32
11,6,1,3.1,5.0,0.94,Very committed and reliable,0.68,3.1,0.7,0.59,3.53
16,2,8,4.7,2.1,0.87,Very committed and reliable,0.56,3.4,0.62,0.43,2.66
15,6,6,4.2,3.4,0.67,Good but not consistent,0.98,2.7,0.65,0.94,3.0
7,0,6,3.7,2.5,0.93,Needs improvement in deadlines,0.76,4.8,0.89,0.75,2.67
16,13,3,2.5,4.9,0.89,Outstanding contribution,0.7,2.6,0.91,0.9,3.66
9,3,2,4.5,2.3,0.72,Outstanding contribution,0.64,3.0,0.36,0.46,2.82
14,9,2,2.0,3.7,0.98,Good but not consistent,0.54,2.7,0.68,0.77,3.13
14,1,4,2.7,2.9,0.93,Excellent performance and teamwork,0.48,2.7,0.79,0.52,2.23
5,0,4,4.2,3.6,0.62,Good but not consistent,0.61,4.5,0.65,0.5,2.77
11,2,7,2.3,3.4,0.62,Good but not consistent,0.47,4.9,0.84,0.72,2.7
17,0,14,2.6,3.7,0.82,Very committed and reliable,0.66,4.1,0.33,0.55,2.49
15,13,0,4.8,3.7,0.62,Outstanding contribution,0.55,5.0,0.34,0.6,4.31
15,7,5,4.7,2.4,0.84,Very committed and reliable,0.48,4.6,0.77,0.54,3.46
18,16,0,3.8,4.6,0.8,Good but not consistent,0.91,2.9,0.8,0.4,3.99
12,1,6,4.7,2.0,0.66,Excellent performance and teamwork,0.73,3.7,0.47,0.52,2.54
18,14,3,3.0,4.0,0.65,Very committed and reliable,0.57,4.2,0.74,0.7,3.73
9,8,0,4.6,2.6,0.72,Outstanding contribution,0.83,3.5,0.53,0.7,3.83
8,5,1,2.9,3.6,0.62,Outstanding contribution,0.58,3.6,0.56,0.72,3.27
9,7,2,2.3,3.2,0.73,Good but not consistent,0.5,3.0,0.69,0.6,3.23
18,1,1,2.5,4.6,0.92,Needs improvement in deadlines,0.86,3.8,0.9,0.9,2.72
18,18,0,4.6,2.6,0.75,Excellent performance and teamwork,0.76,4.4,0.36,0.83,4.2
14,6,4,3.2,2.5,1.0,Late submission and weak teamwork,0.71,2.7,0.54,1.0,2.82
8,5,3,4.7,2.3,0.69,Needs improvement in deadlines,0.58,4.0,1.0,0.45,3.48
9,5,4,2.9,4.2,0.82,Late submission and weak teamwork,0.68,4.2,0.3,0.72,3.5
19,19,0,4.4,3.4,0.83,Excellent performance and teamwork,0.7,3.3,0.97,0.68,4.13
11,1,2,3.9,4.0,0.78,Late submission and weak teamwork,0.68,3.7,0.39,0.91,2.85
15,0,15,4.5,2.9,0.63,Needs improvement in deadlines,0.7,3.7,0.53,0.83,2.54
